"","date","date_in_oven","genotype_id","genotype","stage","treatment","plant","dry_weight_g","bag_type","notes","mean_bag_weight","date_heated","dvl_stage","batlbox","heated","planting_date","harvest","final_maturity","recovery","heat_maturity","dvl_stage_2","mean_c_dw","rel_dw_g"
"1",2024-07-19,2024-07-12,"G4R1C5","G4","R1","C","5",364.404,1,"",57.606,NA,"C",NA,"Not heated",2024-03-18,2024-07-15,116,NA,NA,"mature",209.95096,154.45304
"2",2024-07-19,2024-07-12,"G4R6D5","G4","R6","D","5",277.554,1,"",57.606,2024-06-30,"R6","","Heated",2024-03-18,2024-07-15,116,12,104,"mature",209.95096,67.60304
"3",2024-07-19,2024-07-12,"G2V7W5","G2","V7","W","5",318.844,1,"",57.606,2024-04-26,"V8","Ivy","Heated",2024-03-18,2024-07-15,116,77,39,"young",237.94464,80.89936
"4",2024-07-19,2024-07-12,"G2V15C5","G2","V15","C","5",417.054,1,"",57.606,NA,"C",NA,"Not heated",2024-03-18,2024-07-15,116,NA,NA,"mature",237.94464,179.10936
"5",2024-07-19,2024-07-12,"G3V7W5","G3","V7","W","5",44.394,1,"",57.606,2024-04-26,"V7","Ivy","Heated",2024-03-18,2024-07-15,116,77,39,"young",102.364692307692,-57.9706923076923
"6",2024-07-19,2024-07-12,"G4V15W5","G4","V15","W","5",300.654,1,"",57.606,2024-05-23,"R1","Mega","Heated",2024-03-18,2024-07-15,116,50,66,"fruiting",209.95096,90.70304
"7",2024-07-19,2024-07-12,"G4R6C5","G4","R6","C","5",261.164,1,"",57.606,NA,"C",NA,"Not heated",2024-03-18,2024-07-15,116,NA,NA,"mature",209.95096,51.21304
"8",2024-07-19,2024-07-12,"G5V7D5","G5","V7","D","5",216.814,1,"",57.606,2024-04-26,"V7","Dorothea","Heated",2024-03-18,2024-07-15,116,77,39,"young",394.59225,-177.77825
"9",2024-07-19,2024-07-12,"G2R6C5","G2","R6","C","5",472.494,1,"",57.606,NA,"C",NA,"Not heated",2024-03-18,2024-07-15,116,NA,NA,"mature",237.94464,234.54936
"10",2024-07-19,2024-07-12,"G2R1W5","G2","R1","W","5",358.384,1,"",57.606,2024-06-21,"R6","Mega","Heated",2024-03-18,2024-07-15,116,21,95,"mature",237.94464,120.43936
"11",2024-07-19,2024-07-12,"G4R6W4","G4","R6","W","4",223.894,1,"",57.606,2024-06-27,"R5","Mega","Heated",2024-03-18,2024-07-15,116,15,101,"mature",209.95096,13.94304
"12",2024-07-19,2024-07-12,"G1R6W5","G1","R6","W","5",105.974,1,"",57.606,2024-06-27,"R5","Mega","Heated",2024-03-18,2024-07-15,116,15,101,"mature",157.048076923077,-51.0740769230769
"13",2024-07-19,2024-07-12,"G5V3W5","G5","V3","W","5",477.174,1,"",57.606,2024-04-12,"V5","Ivy","Heated",2024-03-18,2024-07-15,116,91,25,"young",394.59225,82.58175
"14",2024-07-19,2024-07-12,"G1V3D5","G1","V3","D","5",309.964,1,"",57.606,2024-04-12,"V3","Dorothea","Heated",2024-03-18,2024-07-15,116,91,25,"young",157.048076923077,152.915923076923
